,Latitude,Longitude
Lake City,30.2675,-82.6306
Camden,33.6139,-92.8531
Hillsboro,32.0728,97.0931
phoenix area,33.6194,-110.9208
Marshall,35.8136,82.6864
Subiaco,35.3233,-93.6356
HOBART MUNICIPAL AP ,35.0417,-99.0894
TUCUMCARI 4 NE ,35.2281,-103.7394
DEATH VALLEY NATIONAL PARK  ,36.5383,-117.0936
HOPEWELL,37.3364,-77.2842
NEOSHO ,36.8681,-94.3681
LAS ANIMAS ,38.1406,-103.2272
BLANDING,37.6644,-109.4794
Yosemite national park area,37.7169,-119.6653
Saluda,34.0542,-81.775
Clarksdale,34.3017,-90.5644
Portales,34.2308,-103.3375
Springerville,34.1331,-109.1331
Ojai,34.4503,-119.2439
