,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Lake City,increasing,no trend,no trend,no trend,no trend,no trend,no trend,increasing,no trend,no trend,no trend,no trend
Camden,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,increasing,no trend,no trend
Hillsboro,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
phoenix area,no trend,no trend,no trend,no trend,decreasing,no trend,increasing,no trend,no trend,no trend,no trend,no trend
Marshall,no trend,no trend,no trend,no trend,increasing,no trend,no trend,no trend,increasing,no trend,increasing,increasing
Subiaco,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,increasing
HOBART MUNICIPAL AP ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
TUCUMCARI 4 NE ,no trend,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend
DEATH VALLEY NATIONAL PARK  ,increasing,increasing,no trend,no trend,no trend,no trend,increasing,no trend,increasing,no trend,no trend,no trend
HOPEWELL,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,increasing,increasing,increasing
NEOSHO ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
LAS ANIMAS ,increasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
BLANDING,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Yosemite national park area,no trend,no trend,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend
Saluda,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,increasing,increasing,no trend
Clarksdale,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,increasing,no trend,no trend
Portales,no trend,increasing,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Springerville,no trend,no trend,decreasing,decreasing,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Ojai,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend
